fill	x	y	tooltip	key	clickSelects	showSelected1	showSelected2
#FFFFFF	1	1	-Inf<thresh<-6.4 FP=12 FN=0	2.4 -Inf	-Inf	2.4	More
#FFFFFF	0.916666666666667	1	-6.4<thresh<-5.5 FP=11 FN=0	2.4 -5.98704105367987	-5.98704105367987	2.4	More
#FFFFFF	0.666666666666667	1	-5.5<thresh<-4.8 FP=8 FN=0	2.4 -5.19169083010477	-5.19169083010477	2.4	More
#FFFFFF	0.583333333333333	1	-4.8<thresh<-4.1 FP=7 FN=0	2.4 -4.47437721907083	-4.47437721907083	2.4	More
#FFFFFF	0.583333333333333	0.75	-4.1<thresh<-4.0 FP=7 FN=1	2.4 -4.07345141531201	-4.07345141531201	2.4	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.2 FP=4 FN=1	2.4 -3.5987564321254	-3.5987564321254	2.4	More
#FFFFFF	0.25	0.75	-3.2<thresh<-2.8 FP=3 FN=1	2.4 -2.97246989964386	-2.97246989964386	2.4	More
#FFFFFF	0.166666666666667	0.75	-2.8<thresh<-2.6 FP=2 FN=1	2.4 -2.68951516686218	-2.68951516686218	2.4	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	2.4 -2.524465240576	-2.524465240576	2.4	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-1.1 FP=1 FN=2	2.4 -1.78292451635157	-1.78292451635157	2.4	More
#FFFFFF	0.0833333333333333	0.25	-1.1<thresh<-1.0 FP=1 FN=3	2.4 -1.04718648453453	-1.04718648453453	2.4	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	2.4 0.293237447653286	0.293237447653286	2.4	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	2.4 Inf	Inf	2.4	More
#FFFFFF	1	1	-Inf<thresh<-6.6 FP=12 FN=0	2.6 -Inf	-Inf	2.6	More
#FFFFFF	0.916666666666667	1	-6.6<thresh<-5.7 FP=11 FN=0	2.6 -6.18704105367987	-6.18704105367987	2.6	More
#FFFFFF	0.666666666666667	1	-5.7<thresh<-5.0 FP=8 FN=0	2.6 -5.39169083010477	-5.39169083010477	2.6	More
#FFFFFF	0.583333333333333	1	-5.0<thresh<-4.3 FP=7 FN=0	2.6 -4.67437721907083	-4.67437721907083	2.6	More
#FFFFFF	0.583333333333333	0.75	-4.3<thresh<-4.0 FP=7 FN=1	2.6 -4.17345141531201	-4.17345141531201	2.6	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.2 FP=4 FN=1	2.6 -3.5987564321254	-3.5987564321254	2.6	More
#FFFFFF	0.25	0.75	-3.2<thresh<-3.0 FP=3 FN=1	2.6 -3.07246989964386	-3.07246989964386	2.6	More
#FFFFFF	0.166666666666667	0.75	-3.0<thresh<-2.6 FP=2 FN=1	2.6 -2.78951516686218	-2.78951516686218	2.6	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	2.6 -2.524465240576	-2.524465240576	2.6	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-1.3 FP=1 FN=2	2.6 -1.88292451635157	-1.88292451635157	2.6	More
#FFFFFF	0.0833333333333333	0.25	-1.3<thresh<-1.0 FP=1 FN=3	2.6 -1.14718648453453	-1.14718648453453	2.6	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	2.6 0.293237447653286	0.293237447653286	2.6	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	2.6 Inf	Inf	2.6	More
#FFFFFF	1	1	-Inf<thresh<-6.8 FP=12 FN=0	2.8 -Inf	-Inf	2.8	More
#FFFFFF	0.916666666666667	1	-6.8<thresh<-5.9 FP=11 FN=0	2.8 -6.38704105367987	-6.38704105367987	2.8	More
#FFFFFF	0.666666666666667	1	-5.9<thresh<-5.2 FP=8 FN=0	2.8 -5.59169083010477	-5.59169083010477	2.8	More
#FFFFFF	0.583333333333333	1	-5.2<thresh<-4.5 FP=7 FN=0	2.8 -4.87437721907083	-4.87437721907083	2.8	More
#FFFFFF	0.583333333333333	0.75	-4.5<thresh<-4.0 FP=7 FN=1	2.8 -4.27345141531201	-4.27345141531201	2.8	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.2 FP=4 FN=1	2.8 -3.61716945505453	-3.61716945505453	2.8	More
#FFFFFF	0.25	0.75	-3.2<thresh<-3.2 FP=3 FN=1	2.8 -3.17246989964386	-3.17246989964386	2.8	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	2.8 -2.87110214393305	-2.87110214393305	2.8	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	2.8 -2.524465240576	-2.524465240576	2.8	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-1.5 FP=1 FN=2	2.8 -1.98292451635157	-1.98292451635157	2.8	More
#FFFFFF	0.0833333333333333	0.25	-1.5<thresh<-1.0 FP=1 FN=3	2.8 -1.24718648453453	-1.24718648453453	2.8	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	2.8 0.293237447653286	0.293237447653286	2.8	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	2.8 Inf	Inf	2.8	More
#FFFFFF	1	1	-Inf<thresh<-7.0 FP=12 FN=0	3 -Inf	-Inf	3	More
#FFFFFF	0.916666666666667	1	-7.0<thresh<-6.1 FP=11 FN=0	3 -6.58704105367987	-6.58704105367987	3	More
#FFFFFF	0.666666666666667	1	-6.1<thresh<-5.4 FP=8 FN=0	3 -5.79169083010477	-5.79169083010477	3	More
#FFFFFF	0.583333333333333	1	-5.4<thresh<-4.7 FP=7 FN=0	3 -5.07437721907083	-5.07437721907083	3	More
#FFFFFF	0.583333333333333	0.75	-4.7<thresh<-4.0 FP=7 FN=1	3 -4.37345141531201	-4.37345141531201	3	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.4 FP=4 FN=1	3 -3.71716945505453	-3.71716945505453	3	More
#FFFFFF	0.25	0.75	-3.4<thresh<-3.2 FP=3 FN=1	3 -3.27246989964386	-3.27246989964386	3	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	3 -2.87110214393305	-2.87110214393305	3	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	3 -2.524465240576	-2.524465240576	3	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-1.7 FP=1 FN=2	3 -2.08292451635157	-2.08292451635157	3	More
#FFFFFF	0.0833333333333333	0.25	-1.7<thresh<-1.0 FP=1 FN=3	3 -1.34718648453453	-1.34718648453453	3	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	3 0.293237447653286	0.293237447653286	3	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	3 Inf	Inf	3	More
#FFFFFF	1	1	-Inf<thresh<-7.2 FP=12 FN=0	3.2 -Inf	-Inf	3.2	More
#FFFFFF	0.916666666666667	1	-7.2<thresh<-6.3 FP=11 FN=0	3.2 -6.78704105367987	-6.78704105367987	3.2	More
#FFFFFF	0.666666666666667	1	-6.3<thresh<-5.6 FP=8 FN=0	3.2 -5.99169083010477	-5.99169083010477	3.2	More
#FFFFFF	0.583333333333333	1	-5.6<thresh<-4.9 FP=7 FN=0	3.2 -5.27437721907083	-5.27437721907083	3.2	More
#FFFFFF	0.583333333333333	0.75	-4.9<thresh<-4.0 FP=7 FN=1	3.2 -4.47345141531201	-4.47345141531201	3.2	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.6 FP=4 FN=1	3.2 -3.81716945505453	-3.81716945505453	3.2	More
#FFFFFF	0.25	0.75	-3.6<thresh<-3.2 FP=3 FN=1	3.2 -3.37246989964386	-3.37246989964386	3.2	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	3.2 -2.87110214393305	-2.87110214393305	3.2	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	3.2 -2.524465240576	-2.524465240576	3.2	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-1.9 FP=1 FN=2	3.2 -2.18292451635157	-2.18292451635157	3.2	More
#FFFFFF	0.0833333333333333	0.25	-1.9<thresh<-1.0 FP=1 FN=3	3.2 -1.44718648453453	-1.44718648453453	3.2	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	3.2 0.293237447653286	0.293237447653286	3.2	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	3.2 Inf	Inf	3.2	More
#FFFFFF	1	1	-Inf<thresh<-7.4 FP=12 FN=0	3.4 -Inf	-Inf	3.4	More
#FFFFFF	0.916666666666667	1	-7.4<thresh<-6.5 FP=11 FN=0	3.4 -6.98704105367987	-6.98704105367987	3.4	More
#FFFFFF	0.666666666666667	1	-6.5<thresh<-5.8 FP=8 FN=0	3.4 -6.19169083010477	-6.19169083010477	3.4	More
#FFFFFF	0.583333333333333	1	-5.8<thresh<-5.1 FP=7 FN=0	3.4 -5.47437721907083	-5.47437721907083	3.4	More
#FFFFFF	0.583333333333333	0.75	-5.1<thresh<-4.0 FP=7 FN=1	3.4 -4.57345141531201	-4.57345141531201	3.4	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-3.8 FP=4 FN=1	3.4 -3.91716945505453	-3.91716945505453	3.4	More
#FFFFFF	0.25	0.75	-3.8<thresh<-3.2 FP=3 FN=1	3.4 -3.47246989964386	-3.47246989964386	3.4	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	3.4 -2.87110214393305	-2.87110214393305	3.4	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	3.4 -2.524465240576	-2.524465240576	3.4	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-2.1 FP=1 FN=2	3.4 -2.28292451635157	-2.28292451635157	3.4	More
#FFFFFF	0.0833333333333333	0.25	-2.1<thresh<-1.0 FP=1 FN=3	3.4 -1.54718648453453	-1.54718648453453	3.4	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	3.4 0.293237447653286	0.293237447653286	3.4	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	3.4 Inf	Inf	3.4	More
#FFFFFF	1	1	-Inf<thresh<-7.6 FP=12 FN=0	3.6 -Inf	-Inf	3.6	More
#FFFFFF	0.916666666666667	1	-7.6<thresh<-6.7 FP=11 FN=0	3.6 -7.18704105367987	-7.18704105367987	3.6	More
#FFFFFF	0.666666666666667	1	-6.7<thresh<-6.0 FP=8 FN=0	3.6 -6.39169083010477	-6.39169083010477	3.6	More
#FFFFFF	0.583333333333333	1	-6.0<thresh<-5.3 FP=7 FN=0	3.6 -5.67437721907083	-5.67437721907083	3.6	More
#FFFFFF	0.583333333333333	0.75	-5.3<thresh<-4.0 FP=7 FN=1	3.6 -4.67345141531201	-4.67345141531201	3.6	More
#FFFFFF	0.333333333333333	0.75	-4.0<thresh<-4.0 FP=4 FN=1	3.6 -4.01716945505453	-4.01716945505453	3.6	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	3.6 -3.57246989964386	-3.57246989964386	3.6	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	3.6 -2.87110214393305	-2.87110214393305	3.6	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	3.6 -2.524465240576	-2.524465240576	3.6	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-2.3 FP=1 FN=2	3.6 -2.38292451635157	-2.38292451635157	3.6	More
#FFFFFF	0.0833333333333333	0.25	-2.3<thresh<-1.0 FP=1 FN=3	3.6 -1.64718648453453	-1.64718648453453	3.6	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	3.6 0.293237447653286	0.293237447653286	3.6	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	3.6 Inf	Inf	3.6	More
#FFFFFF	1	1	-Inf<thresh<-7.8 FP=12 FN=0	3.8 -Inf	-Inf	3.8	More
#FFFFFF	0.916666666666667	1	-7.8<thresh<-6.9 FP=11 FN=0	3.8 -7.38704105367987	-7.38704105367987	3.8	More
#FFFFFF	0.666666666666667	1	-6.9<thresh<-6.2 FP=8 FN=0	3.8 -6.59169083010477	-6.59169083010477	3.8	More
#FFFFFF	0.583333333333333	1	-6.2<thresh<-5.5 FP=7 FN=0	3.8 -5.87437721907083	-5.87437721907083	3.8	More
#FFFFFF	0.583333333333333	0.75	-5.5<thresh<-4.2 FP=7 FN=1	3.8 -4.84716488283047	-4.84716488283047	3.8	More
#FFFFFF	0.5	0.75	-4.2<thresh<-4.0 FP=6 FN=1	3.8 -4.11716945505453	-4.11716945505453	3.8	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	3.8 -3.5987564321254	-3.5987564321254	3.8	More
#FFFFFF	0.166666666666667	0.75	-3.2<thresh<-2.6 FP=2 FN=1	3.8 -2.87110214393305	-2.87110214393305	3.8	More
#000000	0.0833333333333333	0.75	-2.6<thresh<-2.5 FP=1 FN=1	3.8 -2.54660668692694	-2.54660668692694	3.8	Min
#FFFFFF	0.0833333333333333	0.5	-2.5<thresh<-2.5 FP=1 FN=2	3.8 -2.48292451635157	-2.48292451635157	3.8	More
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	3.8 -1.7250450381836	-1.7250450381836	3.8	More
#FFFFFF	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	3.8 0.293237447653286	0.293237447653286	3.8	More
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	3.8 Inf	Inf	3.8	More
#FFFFFF	1	1	-Inf<thresh<-8.0 FP=12 FN=0	4 -Inf	-Inf	4	More
#FFFFFF	0.916666666666667	1	-8.0<thresh<-7.1 FP=11 FN=0	4 -7.58704105367987	-7.58704105367987	4	More
#FFFFFF	0.666666666666667	1	-7.1<thresh<-6.4 FP=8 FN=0	4 -6.79169083010477	-6.79169083010477	4	More
#FFFFFF	0.583333333333333	1	-6.4<thresh<-5.7 FP=7 FN=0	4 -6.07437721907083	-6.07437721907083	4	More
#FFFFFF	0.583333333333333	0.75	-5.7<thresh<-4.4 FP=7 FN=1	4 -5.04716488283047	-5.04716488283047	4	More
#FFFFFF	0.5	0.75	-4.4<thresh<-4.0 FP=6 FN=1	4 -4.21716945505453	-4.21716945505453	4	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	4 -3.5987564321254	-3.5987564321254	4	More
#000000	0.166666666666667	0.75	-3.2<thresh<-2.7 FP=2 FN=1	4 -2.92956141970862	-2.92956141970862	4	Min
#FFFFFF	0.166666666666667	0.5	-2.7<thresh<-2.6 FP=2 FN=2	4 -2.64660668692694	-2.64660668692694	4	More
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4 -2.524465240576	-2.524465240576	4	Min
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4 -1.7250450381836	-1.7250450381836	4	More
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4 0.293237447653286	0.293237447653286	4	Min
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4 Inf	Inf	4	More
#FFFFFF	1	1	-Inf<thresh<-8.2 FP=12 FN=0	4.2 -Inf	-Inf	4.2	More
#FFFFFF	0.916666666666667	1	-8.2<thresh<-7.3 FP=11 FN=0	4.2 -7.78704105367987	-7.78704105367987	4.2	More
#FFFFFF	0.666666666666667	1	-7.3<thresh<-6.6 FP=8 FN=0	4.2 -6.99169083010477	-6.99169083010477	4.2	More
#FFFFFF	0.583333333333333	1	-6.6<thresh<-5.9 FP=7 FN=0	4.2 -6.27437721907083	-6.27437721907083	4.2	More
#FFFFFF	0.583333333333333	0.75	-5.9<thresh<-4.6 FP=7 FN=1	4.2 -5.24716488283047	-5.24716488283047	4.2	More
#FFFFFF	0.5	0.75	-4.6<thresh<-4.0 FP=6 FN=1	4.2 -4.31716945505453	-4.31716945505453	4.2	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	4.2 -3.5987564321254	-3.5987564321254	4.2	More
#000000	0.166666666666667	0.75	-3.2<thresh<-2.9 FP=2 FN=1	4.2 -3.02956141970862	-3.02956141970862	4.2	Min
#FFFFFF	0.166666666666667	0.5	-2.9<thresh<-2.6 FP=2 FN=2	4.2 -2.74660668692694	-2.74660668692694	4.2	More
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.2 -2.524465240576	-2.524465240576	4.2	Min
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.2 -1.7250450381836	-1.7250450381836	4.2	More
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.2 0.293237447653286	0.293237447653286	4.2	Min
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.2 Inf	Inf	4.2	More
#FFFFFF	1	1	-Inf<thresh<-8.4 FP=12 FN=0	4.4 -Inf	-Inf	4.4	More
#FFFFFF	0.916666666666667	1	-8.4<thresh<-7.5 FP=11 FN=0	4.4 -7.98704105367987	-7.98704105367987	4.4	More
#FFFFFF	0.666666666666667	1	-7.5<thresh<-6.8 FP=8 FN=0	4.4 -7.19169083010477	-7.19169083010477	4.4	More
#FFFFFF	0.583333333333333	1	-6.8<thresh<-6.1 FP=7 FN=0	4.4 -6.47437721907083	-6.47437721907083	4.4	More
#FFFFFF	0.583333333333333	0.75	-6.1<thresh<-4.8 FP=7 FN=1	4.4 -5.44716488283047	-5.44716488283047	4.4	More
#FFFFFF	0.5	0.75	-4.8<thresh<-4.0 FP=6 FN=1	4.4 -4.41716945505453	-4.41716945505453	4.4	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.2 FP=3 FN=1	4.4 -3.5987564321254	-3.5987564321254	4.4	More
#000000	0.166666666666667	0.75	-3.2<thresh<-3.1 FP=2 FN=1	4.4 -3.12956141970862	-3.12956141970862	4.4	Min
#FFFFFF	0.166666666666667	0.5	-3.1<thresh<-2.6 FP=2 FN=2	4.4 -2.84660668692694	-2.84660668692694	4.4	More
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.4 -2.524465240576	-2.524465240576	4.4	Min
#FFFFFF	0.0833333333333333	0.25	-2.5<thresh<-1.0 FP=1 FN=3	4.4 -1.7250450381836	-1.7250450381836	4.4	More
#000000	0	0.25	-1.0<thresh<1.6 FP=0 FN=3	4.4 0.293237447653286	0.293237447653286	4.4	Min
#FFFFFF	0	0	1.6<thresh<Inf FP=0 FN=4	4.4 Inf	Inf	4.4	More
#FFFFFF	1	1	-Inf<thresh<-8.6 FP=12 FN=0	4.6 -Inf	-Inf	4.6	More
#FFFFFF	0.916666666666667	1	-8.6<thresh<-7.7 FP=11 FN=0	4.6 -8.18704105367987	-8.18704105367987	4.6	More
#FFFFFF	0.666666666666667	1	-7.7<thresh<-7.0 FP=8 FN=0	4.6 -7.39169083010477	-7.39169083010477	4.6	More
#FFFFFF	0.583333333333333	1	-7.0<thresh<-6.3 FP=7 FN=0	4.6 -6.67437721907083	-6.67437721907083	4.6	More
#FFFFFF	0.583333333333333	0.75	-6.3<thresh<-5.0 FP=7 FN=1	4.6 -5.64716488283047	-5.64716488283047	4.6	More
#FFFFFF	0.5	0.75	-5.0<thresh<-4.0 FP=6 FN=1	4.6 -4.51716945505453	-4.51716945505453	4.6	More
#FFFFFF	0.25	0.75	-4.0<thresh<-3.3 FP=3 FN=1	4.6 -3.67426097511929	-3.67426097511929	4.6	More
#FFFFFF	0.25	0.5	-3.3<thresh<-3.2 FP=3 FN=2	4.6 -3.22956141970862	-3.22956141970862	4.6	More
#FFFFFF	0.166666666666667	0.5	-3.2<thresh<-2.6 FP=2 FN=2	4.6 -2.87110214393305	-2.87110214393305	4.6	More
#000000	0.0833333333333333	0.5	-2.6<thresh<-2.5 FP=1 FN=2	4.6 -2.524465240576	-2.524465240576	4.6	Min
